code,category,met,description
02055,Conditioning Exercise,5.8,"Resistance Training, circuit, reciprocol supersets, peripheral hear action training"
02056,Conditioning Exercise,3.0,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general"
02057,Conditioning Exercise,6.5,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), high intensity"
02058,Conditioning Exercise,9.8,Kettle bell swings
02060,Conditioning Exercise,5.5,"Health club exercise, general (Taylor Code 160)"
02061,Conditioning Exercise,5.0,"Health club exercise classes general, gym/weight training combined in one visit"
02062,Conditioning Exercise,7.8,"Health club exercise, conditioning classes"
02064,Conditioning Exercise,3.8,"Home exercise, general"
02065,Conditioning Exercise,9.3,"Stair treadmill ergometer, general"
02068,Conditioning Exercise,11.0,"Rope skipping exercise, general"
02069,Conditioning Exercise,9.0,"Jumping rope, Digi-Jump Maching, 120 jumps/minute"
02070,Conditioning Exercise,7.3,"Rowing, stationary ergometer, general, vigorous effort"
02071,Conditioning Exercise,5.0,"Rowing, stationary ergometer, general, <100 watts, moderate effort"
02072,Conditioning Exercise,7.5,"Rowing, stationary, 100 to 149 watts, vigorous effort"
02073,Conditioning Exercise,11.0,"Rowing, stationary, 150 to 199 watts, vigorous effort"
02074,Conditioning Exercise,14.0,"Rowing, stationary, ≥ 200 watts, very vigorous effort"
02078,Conditioning Exercise,11.0,"Shuttle running, forward/backward/lateral"
02080,Conditioning Exercise,6.8,"Ski machine, general"
02082,Conditioning Exercise,10.5,"Ski ergometer, cross country, double poling, slow to moderate speed"
02084,Conditioning Exercise,18.0,"Ski ergometer, cross country, double poling, fast to maximum speed"
02085,Conditioning Exercise,10.5,"Slide board exercise, general"
02090,Conditioning Exercise,6.0,"Slimnastics, jazzercise"
02101,Conditioning Exercise,2.3,"Stretching, mild"
02103,Conditioning Exercise,1.8,"Pilates, traditional, mat"
02105,Conditioning Exercise,2.8,"Pilates, general"
02107,Conditioning Exercise,8.5,"Pound, combination of Pilates and body movements with drumming"
02108,Conditioning Exercise,4.5,"Pole dancing, exercise class"
02110,Conditioning Exercise,6.8,"Teaching exercise classes (e.g., aerobic, water)"
02112,Conditioning Exercise,2.8,"Therapeutic exercise ball, Fitball exercise"
02114,Conditioning Exercise,9.5,"Therapeutic exercise ball, Fitball exercise, high intensity"
02115,Conditioning Exercise,2.8,"Upper body exercise, arm ergometer, general, light"
02116,Conditioning Exercise,2.0,"Arm Ergometer, hand bike, 15W"
02117,Conditioning Exercise,2.8,"Arm Ergometer, hand bike, 25-30W"
02118,Conditioning Exercise,3.5,"Arm Ergometer, hand bike, 45W"
02119,Conditioning Exercise,4.3,"Upper body exercise, stationary bicycle - Airdyne (arms only) 40 rpm, moderate intensity"
02120,Conditioning Exercise,5.3,"Water aerobics, water calisthenics, water exercise"
02135,Conditioning Exercise,1.3,"Whirlpool, sitting"
02140,Conditioning Exercise,2.5,"Video, exercise workouts, TV conditioning programs (e.g., yoga, stretching, seated), light effort"
02143,Conditioning Exercise,4.0,"Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), moderate"
02145,Conditioning Exercise,6.0,"Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), vigorous"
02150,Conditioning Exercise,2.3,"Yoga, Hatha"
02153,Conditioning Exercise,8.0,"Yoga, Hatha, high intensity"
02155,Conditioning Exercise,3.0,"Yoga, Hot"
02160,Conditioning Exercise,4.0,"Yoga, Power"
02170,Conditioning Exercise,2.0,"Yoga, Nadisodhana"
02175,Conditioning Exercise,2.3,"Yoga, General"
02180,Conditioning Exercise,3.5,"Yoga, Surya Namaskar"
02185,Conditioning Exercise,2.7,"Yoga, Vinyasa"
02200,Conditioning Exercise,5.3,"Native New Zealander PA, (e.g., Haka Powhiri, Poi, Moteatea, etc.), general moderate effort"
02205,Conditioning Exercise,6.8,"Native New Zealander PA, general, vigorous effort"
02210,Conditioning Exercise,7.0,"High intensity interval exercise, moderate effort"
02214,Conditioning Exercise,11.0,"High intensity interval exercise, burpees, mountain climbers, squat jumps, Tabata, vigorous effort"
02225,Conditioning Exercise,2.3,"Balance Exercise Assist Robot (BEAR), simulated skiing, tennis, rodeo"
02230,Conditioning Exercise,5.8,Hooping (formerly known as hula® hooping)
02240,Conditioning Exercise,9.0,"Impulse Training System, Inertial Exercise Trainer"
02280,Conditioning Exercise,7.9,"Virtual Reality Fitness, Supernatural™ “Flow”, “Boxing"" vigorous intensity"
02284,Conditioning Exercise,9.3,"ExerCube, workout series"
02288,Conditioning Exercise,13.0,"Blackbox Immersive virtual reality exergaming system, vigorous intensity"
02300,Conditioning Exercise,3.0,"Wand exercise, Life-Build-Line"
02310,Conditioning Exercise,6.5,"Zumba, group class"
02315,Conditioning Exercise,5.5,"Zumba, home video"
02340,Conditioning Exercise,2.8,"Sit to stand exercise, 6-12 times/min"
02344,Conditioning Exercise,4.0,"Sit to stand exercise, 18-24 times/min"
03005,Dancing,6.0,"Afro-Cuban salsa (Cuban cha-cha-cha, mambo, Afro rumba, contratiempo son steps, orisha/santo movements)"
03010,Dancing,5.0,"Ballet, modern, or jazz general, rehearsal or class"
03011,Dancing,6.3,"Ballet exercises (plie, tendus, jetes, rond de Jambes, fondus, grand battement, grand adage, sautes, temp Leve's)"
03012,Dancing,6.8,"Ballet, modern, or jazz, performance, vigorous effort"
03014,Dancing,4.8,Tap
03025,Dancing,4.5,"Ethnic or cultural dancing (e.g. Greek, Middle Eastern, hula, salsa, merengue, bamba y plena, flamenco, belly, and swing)"
03028,Dancing,5.5,"Chinese square dance, Ballet & Tibetan dance"
03029,Dancing,7.3,"Chinese square dance, aerobic dance"
03030,Dancing,5.5,"Ballroom dancing, fast (Taylor Code 125)"
03031,Dancing,9.8,"Nightclub or folk dancing, vigorous effort (e.g., nightclub, disco, folk, line dancing, Irish step dancing, polka, contra)"
03033,Dancing,5.0,"Folk dancing, moderate effort"
03038,Dancing,11.3,"Ballroom dancing, competitive, general"
03039,Dancing,13.0,"ballroom dance, DanceSport competition (modern waltz, tango, Viennese waltz, slow fox, quick step, samba, chacha, rumba, paso doble, jive)"
03040,Dancing,3.0,"Ballroom, slow, examples: waltz, foxtrot, slow dancing, samba tango, rumba, 19th century dance, mambo, cha cha"
03042,Dancing,6.0,"Ballroom Dance, Recreational (Waltz, Foxtrot, Cha-cha, Swing)"
03050,Dancing,5.5,"Anishinaabe Jingle dancing, brisk pace, other traditional American Indian dancing performed by women, moderate effort"
03060,Dancing,3.5,"Caribbean dance (Abakua, Beguine, Bellair, Bongo, Brukin’s, Caribbean Quadrills, Dinki Mini, Gere, Gumbay, Ibo, Jonkonnu, Kumina, Oreisha, Jambu)"
03070,Dancing,3.8,"Contemporary dancing, general"
03072,Dancing,4.3,"Contemporary dancing, nightclub"
03075,Dancing,8.5,Flamenco dance
03078,Dancing,4.5,"Jazz dancing, general"
03080,Dancing,10.3,"Musical Theater, Singing/dancing"
03085,Dancing,5.8,"Polynesian dance, Hawaiian hula slow, Maori haka, Tongan"
03086,Dancing,7.0,"Polynesian dance, Hawaiian hula fast, Samoan sasa, Fijian style fast, Filipino Tinikling"
03087,Dancing,8.8,"Polynesian dance, Samoan slap, Tahitian"
03090,Dancing,4.8,"Salsa Dancing, with partner"
03091,Dancing,6.3,"Salsa dancing, to a video"
03093,Dancing,5.5,"Square Dancing, American Western, country"
04001,Fishing & Hunting,3.5,"Fishing, general"
04005,Fishing & Hunting,4.5,"Fishing, crab fishing"
04007,Fishing & Hunting,4.0,"Fishing, catching fish with hands"
04010,Fishing & Hunting,4.3,"Fishing related, digging worms, with shovel"
04020,Fishing & Hunting,4.0,Fishing from river bank and walking
04030,Fishing & Hunting,2.0,"Fishing from boat or canoe, sitting"
04040,Fishing & Hunting,3.5,"Fishing from river bank, standing (Taylor Code 660)"
04050,Fishing & Hunting,6.0,"Fishing in stream, in waders (Taylor Code 670)"
04060,Fishing & Hunting,2.0,"Fishing, ice, sitting"
04061,Fishing & Hunting,1.8,"Fishing, jig or line, standing, general"
04062,Fishing & Hunting,3.5,"Fishing, dip net, setting net and retrieving fish, general"
04063,Fishing & Hunting,3.8,"Fishing, set net, setting net and retrieving fish, general"
04064,Fishing & Hunting,3.0,"Fishing, fishing wheel, setting net and retrieving fish, general"
04065,Fishing & Hunting,2.3,"Fishing with a spear, standing"
04070,Fishing & Hunting,2.5,"Hunting, bow and arrow or crossbow"
04080,Fishing & Hunting,6.0,"Hunting, deer, elk, large game (Taylor Code 170)"
04081,Fishing & Hunting,9.8,"Hunting large game, dragging carcass"
04083,Fishing & Hunting,4.0,Hunting large marine animals
04085,Fishing & Hunting,2.5,"Hunting, large game from a hunting stand, limited walking"
04086,Fishing & Hunting,2.0,"Hunting large game from a car, plane, or boat"
04090,Fishing & Hunting,2.5,"Hunting, duck, wading"
04095,Fishing & Hunting,3.0,"Hunting flying fox, squirrel"
04100,Fishing & Hunting,5.0,"Hunting, general"
04110,Fishing & Hunting,6.0,"Hunting, pheasants or grouse (Taylor Code 680)"
04115,Fishing & Hunting,3.3,Hunting birds
04120,Fishing & Hunting,5.0,"Hunting, rabbit, squirrel, prairie chick, raccoon, small game (Taylor Code 690)"
04123,Fishing & Hunting,3.3,"Hunting pigs, wild"
04124,Fishing & Hunting,2.0,"Trapping game, general"
04125,Fishing & Hunting,9.5,Hunting - hiking with hunting gear
04130,Fishing & Hunting,2.5,"Pistol shooting or trap shooting, standing"
04140,Fishing & Hunting,2.3,"Rifle exercises, shooting, lying down"
04145,Fishing & Hunting,2.5,"Rifle exercises, shooting, kneeling or standing"
04150,Fishing & Hunting,2.8,"Foraging, 0-9.9kg backpack"
04152,Fishing & Hunting,3.0,"Foraging, 10-15kg backpack"
04160,Fishing & Hunting,1.0,"Sitting in boat, passenger"
04164,Fishing & Hunting,1.5,Standing in boat
04168,Fishing & Hunting,3.3,"Activities in a boat, lifting, lowering"
05010,Home Activities,3.3,"Cleaning, sweeping carpet or floors, general"
05011,Home Activities,2.3,"Cleaning, sweeping, slow, light effort"
05012,Home Activities,3.8,"Cleaning, sweeping, fast, moderate effort"
05020,Home Activities,3.5,"Cleaning heavy or major (e.g., wash car, clean garage), moderate effort"
05021,Home Activities,3.5,"Cleaning, mopping, standing, moderate effort"
05022,Home Activities,3.3,"Cleaning windows, washing windows, general"
05023,Home Activities,2.5,"Mopping, standing, light effort"
05024,Home Activities,4.5,"Polishing floors, standing, walking slowly, using electric polishing machine"
05025,Home Activities,2.8,"Multiple household tasks all at once, light effort"
05026,Home Activities,3.3,"Multiple household tasks all at once, moderate effort"
05027,Home Activities,4.3,"Multiple household tasks all at once, vigorous effort"
05030,Home Activities,3.3,"Cleaning, house or cabin, general, moderate effort"
05032,Home Activities,2.5,"Dusting or polishing furniture, general"
05035,Home Activities,3.3,"Kitchen activity, general, (e.g., cooking, washing dishes, cleaning up) moderate effort"
05040,Home Activities,2.5,"Cleaning, general (straightening up, changing linen, carrying out trash), light effort"
05041,Home Activities,2.0,"Wash dishes, standing or in general (not broken into stand/walk components)"
05042,Home Activities,2.0,"Wash dishes, clearing dishes from table, walking, light effort"
05043,Home Activities,3.0,"Vacuuming, general, moderate effort"
05044,Home Activities,3.0,"Butchering animals, small"
05045,Home Activities,6.0,"Butchering animals, large, vigorous effort"
05046,Home Activities,2.3,"Cutting and smoking fish, drying fish or meat"
05048,Home Activities,4.0,"Tanning hides, general"
05049,Home Activities,3.5,"Cooking or food preparation, moderate effort"
05050,Home Activities,2.0,"Cooking or food preparation - standing or sitting or in general (not broken into stand/walk components), manual appliances, light effort"
05051,Home Activities,2.3,"Cooking or food preparation, walking"
05052,Home Activities,2.3,"Serving food, setting/cleaning table, implied walking or standing"
05053,Home Activities,2.5,Feeding household animals
05054,Home Activities,3.5,"carrying groceries, on level ground, walking"
05055,Home Activities,2.5,"Putting away groceries (e.g. carrying groceries, carrying packages)"
05056,Home Activities,5.3,Carrying groceries upstairs
05057,Home Activities,3.0,Cooking Indian bread or other food on an outside stove
05060,Home Activities,3.3,Food shopping with or without a grocery cart; carrying a 10 lb bag; standing or walking
05065,Home Activities,2.3,"Non-food shopping, with or without cart, standing or walking"
05070,Home Activities,1.8,Ironing
05080,Home Activities,1.3,"Knitting, sewing, light effort, wrapping presents, sitting"
05082,Home Activities,2.8,Sewing with a machine
05090,Home Activities,2.3,"Laundry, fold or hang clothes, put clothes in washer or dryer, packing suitcase, washing clothes by hand, implied standing, light effort"
05091,Home Activities,2.0,"Laundry, fold or hang clothes, sitting"
05092,Home Activities,4.0,"Laundry, moderate effort"
05095,Home Activities,2.0,"Laundry, putting away clothes, gathering clothes to pack, putting away laundry, implied walking"
05100,Home Activities,3.0,"Making bed, changing linens"
05110,Home Activities,5.0,"Maple syruping/sugar bushing (including carrying buckets, carrying wood)"
05120,Home Activities,5.8,"Moving furniture, household items, carrying boxes"
05121,Home Activities,5.0,"Moving, lifting light loads"
05125,Home Activities,4.8,Organizing a room
05130,Home Activities,3.5,"Scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, moderate effort"
05131,Home Activities,2.0,"Scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, light effort"
05132,Home Activities,6.5,"Scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, vigorous effort"
05140,Home Activities,3.0,"Sweeping garage, sidewalk, or outside house"
05146,Home Activities,3.8,"Standing, packing/unpacking boxes, occasional lifting lightweight household items, loading or unloading items into a car, moderate effort"
05147,Home Activities,3.0,"Implied walking, putting away household items, moderate effort"
05148,Home Activities,2.0,Watering plants
05149,Home Activities,2.5,Building a fire inside
05150,Home Activities,9.0,"Moving household items upstairs, carrying boxes or furniture"
05160,Home Activities,2.0,"Standing, light effort tasks (pump gas, change light bulb, etc.)"
05165,Home Activities,3.5,"Walking, moderate effort tasks, non-cleaning (readying to leave, shut/lock doors, close windows, etc."
05170,Home Activities,2.3,"Sitting, playing with child(ren), light effort, only active periods"
05171,Home Activities,2.8,"Standing, playing with child(ren), light effort, only active periods"
05175,Home Activities,3.5,"Walking/running, playing with child(ren), moderate effort, only active periods"
05180,Home Activities,5.8,"Walking/running, playing with child(ren), vigorous effort, only active periods"
05181,Home Activities,3.0,"Walking and carrying small child, child weighing 15 lbs or more"
05182,Home Activities,2.5,"Walking and carrying small child, child weighing less than 15 lbs"
05183,Home Activities,2.0,"Standing, holding child"
05184,Home Activities,2.5,"Child care, infant, general"
05185,Home Activities,2.0,"Child care: sitting or kneeling, dressing, bathing, grooming, feeding, occasional lifting of child-light effort, general"
05186,Home Activities,3.5,"Child care: standing, dressing, bathing, grooming, feeding, occasional lifting of child- light effort"
05188,Home Activities,1.5,Reclining with baby
05189,Home Activities,2.0,"Breastfeeding, sitting or reclining"
05190,Home Activities,2.5,"Sit, playing with animals, light, only active period"
05191,Home Activities,2.8,"Stand, playing with animals, light effort, only active periods"
05192,Home Activities,2.8,"Walk or run, playing with animals, general, light effort, only active periods"
05193,Home Activities,4.0,"Walk/run, playing with animals, moderate effort, only active periods"
05194,Home Activities,5.0,"Walk/run, playing with animals, vigorous effort, only active periods"
05195,Home Activities,3.5,"Standing, bathing dog"
05197,Home Activities,2.3,"Animal care, household animals, general"
05200,Home Activities,3.0,"Elder care, disabled adult, bathing, dressing, moving into and out of bed, only active periods"
05205,Home Activities,1.8,"Elder care, disabled adult, feeding, combing hair, light effort, only active periods"
05300,Home Activities,1.3,Handwashing
06010,Home Repair,3.0,Airplane repair
06020,Home Repair,4.0,Automobile body work
06030,Home Repair,3.3,"Automobile repair, light or moderate effort"
06040,Home Repair,3.0,"Carpentry, general, workshop (Taylor Code 620)"
06050,Home Repair,6.0,"Carpentry, outside house, (Taylor Code 640)"
06052,Home Repair,3.8,"Carpentry, outside house, building a fence"
06060,Home Repair,3.3,"Carpentry, finishing, varnishing, or refinishing cabinets or furniture"
06070,Home Repair,6.0,"Carpentry, sawing hardwood, planing and drilling wood, moderate-to-vigorous effort"
06072,Home Repair,4.0,"Carpentry, home remodeling tasks, moderate effort"
06074,Home Repair,2.3,"Carpentry, home remodeling tasks, light effort"
06080,Home Repair,5.0,"Caulking, chinking log cabin"
06090,Home Repair,4.5,"Caulking, except log cabin"
06100,Home Repair,5.0,Cleaning gutters
06110,Home Repair,5.0,Excavating garage
06120,Home Repair,5.0,Hanging storm windows
06122,Home Repair,5.0,Hanging sheet rock inside house
06124,Home Repair,3.0,Hammering nails
06126,Home Repair,2.5,"Home repair, general, light effort"
06127,Home Repair,4.5,"Home repair, general, moderate effort"
06128,Home Repair,6.0,"Home repair, general, vigorous effort"
06130,Home Repair,4.5,Laying or removing carpet
06140,Home Repair,3.8,Laying tile or linoleum
06144,Home Repair,3.0,Repairing appliances
06150,Home Repair,5.0,"Painting, outside home (Taylor Code 650)"
06160,Home Repair,3.3,"Painting inside house, wallpapering, scraping paint"
06165,Home Repair,4.5,Painting (Taylor Code 630)
06167,Home Repair,3.0,"Plumbing, general"
06170,Home Repair,3.0,Put on and removal of tarp – sailboat
06180,Home Repair,6.0,Roofing
06190,Home Repair,4.5,Sanding floors with a power sander
06200,Home Repair,4.5,Scraping and painting sailboat or powerboat
06205,Home Repair,2.0,Sharpening tools
06210,Home Repair,5.0,Spreading dirt with a shovel
06220,Home Repair,4.5,Washing and waxing hull of sailboat or airplane
06225,Home Repair,2.0,Washing and waxing car
06230,Home Repair,4.5,"Washing fence, painting fence, moderate effort"
06240,Home Repair,3.3,"Wiring, tapping-splicing"
07009,Inactivity,1.0,Lying quietly and watching television
07011,Inactivity,1.0,"Lying quietly, doing nothing, lying in bed awake, listening to music (not talking or reading)"
07020,Inactivity,1.0,"Sit, watch television"
07021,Inactivity,1.0,"Sitting quietly, general"
07022,Inactivity,1.5,"Sitting quietly, fidgeting, general, fidgeting hands"
07023,Inactivity,1.8,"Sitting, fidget feet"
07024,Inactivity,1.3,Sitting smoking
07025,Inactivity,1.5,"Sitting, listening to music (not talking or reading) or watching a movie in a theater"
07026,Inactivity,1.3,"Sitting at a desk, resting head in hands"
07030,Inactivity,1.0,Sleeping
07040,Inactivity,1.3,Standing quietly (standing in a line)
07041,Inactivity,1.5,Standing (fidgeting)
07045,Inactivity,1.3,Standing watching television
07050,Inactivity,1.5,"Reclining, writing"
07060,Inactivity,1.3,"Reclining, talking or talking on phone"
07070,Inactivity,1.3,"Reclining, reading"
07075,Inactivity,1.0,Meditating
08009,Lawn & Garden,4.1,"Carrying, loading or stacking wood, loading/unloading or carrying lumber, light-to- moderate effort"
08010,Lawn & Garden,5.5,"Carrying, loading or stacking wood, loading/unloading or carrying lumber, moderate effort"
08019,Lawn & Garden,4.5,"Chopping wood, splitting logs, moderate effort"
08020,Lawn & Garden,6.5,"Chopping wood, splitting logs, vigorous effort"
08025,Lawn & Garden,3.5,"Clearing light brush, thinning garden, moderate effort"
08030,Lawn & Garden,6.3,"Clearing land, haul brush, undergrowth, or ground, vigorous effort"
08040,Lawn & Garden,5.0,"Digging sandbox, shoveling sand"
08045,Lawn & Garden,3.5,"Digging, spading, filling garden, composting, light-to-moderate effort"
08050,Lawn & Garden,5.0,"Digging, spading, filling garden, composting (Taylor Code 590)"
08052,Lawn & Garden,7.3,"Digging, spading, filling garden, composting, vigorous effort"
08055,Lawn & Garden,2.8,Driving tractor
08057,Lawn & Garden,8.3,"Felling trees, large size"
08058,Lawn & Garden,5.3,"Felling trees, small-medium size"
08060,Lawn & Garden,5.8,"Gardening with heavy power tools, using chain saw, tilling a garden"
08066,Lawn & Garden,2.0,"gardening, general"
08070,Lawn & Garden,4.0,"Irrigation channels, opening and closing ports"
08080,Lawn & Garden,6.3,Laying crushed rock or gravel
08090,Lawn & Garden,5.0,Laying sod
08095,Lawn & Garden,5.5,"Mowing lawn, general, walking, moderate effort"
08100,Lawn & Garden,2.5,"Mowing lawn, riding mower (Taylor Code 550)"
08110,Lawn & Garden,6.0,"Mowing lawn, hand mower, vigorous effort (Taylor Code 570)"
08120,Lawn & Garden,5.0,"Mowing lawn, walk, power mower, moderate or vigorous effort"
08125,Lawn & Garden,4.5,"Mowing lawn, power mower, light or moderate effort (Taylor Code 590)"
08130,Lawn & Garden,2.5,"Operating snow blower, walking"
08135,Lawn & Garden,2.6,"Planting, potting, transplanting seedlings or plants, light effort"
08140,Lawn & Garden,4.3,"Planting seedlings, shrubs, stooping, moderate effort"
08145,Lawn & Garden,4.3,"Planting crops or garden, stooping, moderate effort"
08150,Lawn & Garden,4.5,Planting trees
08160,Lawn & Garden,4.0,"Raking lawn or leaves, moderate effort"
08165,Lawn & Garden,4.0,Raking lawn (Taylor Code 600)
08170,Lawn & Garden,4.0,Raking roof with snow rake
08180,Lawn & Garden,3.0,Riding snow blower
08190,Lawn & Garden,4.0,"Sacking grass, leaves"
08192,Lawn & Garden,5.5,Shoveling dirt or mud
08195,Lawn & Garden,5.3,"Shoveling snow, by hand, moderate effort"
08200,Lawn & Garden,6.0,"Shoveling snow, by hand (Taylor Code 610)"
08202,Lawn & Garden,7.5,"Shoveling snow, by hand, vigorous effort"
08210,Lawn & Garden,3.8,"Trimming shrubs or trees, manual cutter"
08215,Lawn & Garden,3.3,"Trimming shrubs or trees, power cutter, using leaf blower, edger, moderate effort"
08220,Lawn & Garden,3.0,"Walking, applying fertilizer or seeding a lawn, push applicator"
08230,Lawn & Garden,4.0,"Watering lawn or garden, standing or walking"
08239,Lawn & Garden,3.8,"Weeding, cultivating garden, light-to-moderate effort"
08240,Lawn & Garden,4.5,"Weeding, cultivating garden, moderate effort (Taylor Code 580)"
08241,Lawn & Garden,5.0,"Weeding, cultivating garden, using hoe moderate-to-vigorous effort"
08245,Lawn & Garden,3.8,"Gardening, general, moderate effort"
08246,Lawn & Garden,3.5,"Picking fruit or coffee from trees, moderate effort"
08248,Lawn & Garden,4.5,"Harvesting Produce, Picking fruit off trees, gleaning fruits, picking fruits/vegetables, climbing ladder to pick fruit, vigorous effort"
08250,Lawn & Garden,3.0,"Implied walking/standing - picking up yard, light, picking flowers or vegetables"
08251,Lawn & Garden,3.0,"Walking, gathering gardening tools"
08255,Lawn & Garden,4.8,"Wheel barrow, pushing garden cart or wheelbarrow, general"
08256,Lawn & Garden,6.0,"Wheel barrow, pushing large garden cart or heavy wheelbarrow up to 150kg"
08260,Lawn & Garden,2.3,"Yardwork, general, light effort"
08261,Lawn & Garden,4.0,"Yardwork, general, moderate effort"
08262,Lawn & Garden,6.0,"Yardwork, general, vigorous effort"
09000,Miscellaneous,1.3,"Board game playing, sitting"
09005,Miscellaneous,2.5,"Casino gambling, standing"
09010,Miscellaneous,1.5,"Card playing, sitting"
09013,Miscellaneous,1.5,"Chess game, sitting"
09015,Miscellaneous,1.5,"Copying or filing documents, standing"
09020,Miscellaneous,1.8,"Drawing, writing, painting, standing"
09025,Miscellaneous,1.0,"Laughter, sitting"
